#NAME,ALT_NAME,CATNUM,RA_OBJ,DEC_OBJ,SRC_TYPE
MAXI_J0637-430,'a',0,99.0987,-42.868,LXB
MAXI_J1348-630,'a',1,207.053,-63.2746,HX?
MAXI_J1631-479,'a',2,247.809,-47.8065,XB?
MAXI_J1820p070,'a',3,275.091,7.18533,LXB
MAXI_J1813-095,'a',4,273.392,-9.53311,'z'
MAXI_J1535-571,'a',5,233.832,-57.2299,XB
IGR_J17454-2919,'a',6,266.365,-29.3315,HX?
GRS1716-249,'a',7,259.904,-25.018,LXB
V4641Sgr,'a',8,274.84,-25.407,HXB_LXB
XTEJ1752-223,'a',9,268.063,-22.343,HX?_LXB
MAXIJ1659-152,'a',10,254.757,-15.258,HX?_LXB
MAXIJ1836-194,'a',11,278.931,-19.32,HX?
MAXIJ1305-704,'a',12,196.731,-70.451,HX?
MAXIJ1828-249,'a',13,277.243,-25.03,'z'
GX339-4,'a',14,255.706,-48.79,LXB
H1743-322,'a',15,266.565,-32.233,HX?_LXB
4U1630-472,'a',16,248.502,-47.394,HX?_LXB
XTEJ1856p053,'a',17,284.179,5.309,HX?_LXB
GS1354-64,'a',18,209.541333,-64.734694,HXB
MAXIJ1910-057,'a',19,287.595,-5.799,HX?_LXB
gamma Cas,t,20,14.175,60.7167,Be
HD110432,t,21,190.71,236.1,Be
piAqr,t,22,336.32,5.1191,Be
V404Cygni,'z',990404,306.015958,33.867278,'z'
MAXIJ0556-332,'z',990556,89.193,-33.1745,'z'
MAXIJ1409-619,'z',991409,212.010667,-61.983417,'z'
MAXIJ1543-564,'z',991533,235.822233,-56.413431,'z'
MAXIJ1647-227,'z',991647,251.96,-22.75,'z'
MAXIJ0158-744,'z',990158,29.856667,-74.257778,'z'
MAXIJ1421-613,'z',991421,215.405,-61.607,'z'
MAXIJ1621-501,'z',991621,245.09171,-50.01989,'z'
SwiftJ0243.6+6124,'z',980243,40.91806,61.43412,'z'
GS0834-430,'z',990834,128.979167,-43.185,'z'
SWIFTJ1836.6+0341,'z',991837,279.16433,3.6835,'z'
SWIFTJ1922.7-1716,'z',991922,290.654167,-17.284167,'z'
GRS1739-278,'z',10047,265.666792,-27.747972,'z'
GRS1915+105,'z',10007,288.798125,10.945778,'z'
CygX-1,'z',10002,299.590316,35.201605,'z'
CygX-3,'z',10038,308.107417,40.95775,'z'
4U1957+115,'z',33875,299.850875,11.709,'z'
SWIFTJ1753.5-0127,'z',20009,268.367875,-1.451722,'z'
LMCX-3,'z',20099,84.734581,-64.084168,'z'
LMCX-1,'z',33887,84.911829,-69.743239,'z'
GROJ1655-40,'z',20001,253.500571,-39.845806,'z'
AqlX-1,'z',10031,287.816875,0.584944,'z'
CirX-1,'z',10350,230.170208,-57.166694,'z'
Crab,'z',10001,83.633083,22.0145,'z'
ScoX-1,'z',10003,244.979446,-15.640283,'z'
GS1826-238,'z',10311,277.3675,-23.796944,'z'
4U1608-522,'z',10067,243.179167,-52.423056,'z'
GX301-2,'z',10051,186.656504,-62.770322,'z'
GX304-1,'z',10052,195.32125,-61.601833,'z'
GX340+0,'z',10054,251.44875,-45.611111,'z'
GX349+2,'z',10055,256.435375,-36.423083,'z'
GX354-0,'z',10056,262.990542,-33.834028,'z'
GX1+4,'z',10008,263.009,-24.745611,'z'
GX359+2,'z',10057,264.641667,-28.478333,'z'
GX3+1,'z',10050,266.983333,-26.563611,'z'
GX5-1,'z',10058,270.28425,-25.078472,'z'
GX9+1,'z',10059,270.384583,-20.528889,'z'
GX13+1,'z',10319,273.631458,-17.157417,'z'
GX17+2,'z',10049,274.005787,-14.036283,'z'
CygX-2,'z',10037,326.171458,38.321417,'z'
4U1636-536,'z',10069,250.23125,-53.751389,'z'
4U1702-429,'z',10309,256.563808,-43.035747,'z'
GX9+9,'z',10317,262.934042,-16.961361,'z'
H1705-440,'z',10072,257.226958,-44.102042,'z'
4U1735-44,'z',10300,264.742917,-44.45,'z'
4U1746-370,'z',10310,267.558333,-37.046667,'z'
H1820-303,'z',10076,275.919042,-30.361278,'z'
GRS1758-258,'z',10048,270.301667,-25.743361,'z'
HD101379,'z',90000,174.873292,-65.397767,'z'
KS1947+300,'z',991947,297.397875,30.208833,'z'
GRO1744-28,'z',90001,266.5,-28.866667,'z'
GROJ1008-57,'z',20004,152.433333,-58.295,'z'
1A0535+262,'z',10009,84.727389,26.315786,'z'
etaCar,'z',10040,161.264775,-59.684431,'z'
